BRAND,MODEL,IMAGE_URL
Apple,AirPods Max,https://static.swappa.com/images/cache/51/c9/51c9fc7e3b00e62c54ffe824707733c4.png
Apple,AirPods Max USB-C,https://static.swappa.com/images/cache/e3/13/e3135128c2848355ea4b8c3900565cdc.png
Sony,WH-1000XM5,https://static.swappa.com/images/cache/b6/1f/b61f0d6f73495b0f5b97e43d1964627f.png
Beats,Studio Pro,https://static.swappa.com/images/cache/fc/2c/fc2cdb121eeee45477a4ff50f9ae6aa9.png
Sony,WH-1000XM4,https://static.swappa.com/images/cache/b9/98/b998f87c248a08c4d519dcdcf996b328.png
Beats,Studio3,https://static.swappa.com/images/cache/79/68/79687950fd43a63b8cf255a3fe50c0b0.png
Beats,Solo 4,https://static.swappa.com/images/cache/67/48/6748c88c7ed33edbfc114330fd4b77a9.png
Beats,Solo3,https://static.swappa.com/images/cache/98/5d/985d3b9bcb5c94a5be535493ddb7fa1b.png
Sony,WH1000XM5-B Wireless Headphones,https://static.swappa.com/images/cache/e2/5e/e25e45ae2616db77e56926ca9c45c250.png
Microsoft Surface,Headphones,https://static.swappa.com/images/cache/f4/d1/f4d150b6ddb70ce3485256249eaf6733.png
Bose,QuietComfort Ultra Headphones,https://static.swappa.com/images/cache/66/a2/66a2c8eff322725861a97581d56d432d.png
Bose,QuietComfort 35 II,https://static.swappa.com/images/cache/7a/5e/7a5ef2034880d3de23c9eddac4e14324.png
Skullcandy,Headphones,/images/headphones/skullcandy.png
,Ace,https://static.swappa.com/images/cache/0f/86/0f86165389156b236cc7321119d6ab10.png
Xbox,Wireless Headset,https://static.swappa.com/images/cache/df/8a/df8a399991e728d2f6e65827eb26934a.png
Sony,MDR-XB950B1,https://static.swappa.com/images/cache/81/17/8117853261453f82380049eb84391165.png
Sony,MDR-XB650BT Wireless Headphones,https://static.swappa.com/images/cache/2b/69/2b692763323c559c23092b87d979bbe9.png
Marshall,Major V On-Ear Headphone,https://static.swappa.com/images/cache/4c/7a/4c7a479b20883092e1ac2f712fe23f05.png
Bowers & Wilkins,PX8,https://static.swappa.com/images/cache/3c/90/3c907c130cd3f3d8cc0bfdc0a3cd3364.png
Microsoft Surface,Headphones 2,https://static.swappa.com/images/cache/7f/82/7f82cbbf15ff7a92600226ed05a6cc09.png
Bose,QuietComfort 45,https://static.swappa.com/images/cache/da/e8/dae8b06aaf5877008b960e9f583a4a21.png
Bose,Noise Cancelling Headphones 700,https://static.swappa.com/images/cache/b1/dc/b1dc0e63748fdce53171fb68cc5ab1f8.png
Shure,AONIC 50 GEN 2,https://static.swappa.com/images/cache/b1/dc/b1dc0e63748fdce53171fb68cc5ab1f8.png
Shure,SRH1840,https://static.swappa.com/images/cache/b1/dc/b1dc0e63748fdce53171fb68cc5ab1f8.png
