BRAND,MODEL,IMAGE_URL
Apple,iPod Touch (7th Gen),https://static.swappa.com/images/cache/12/fb/12fb15cc4d151ab94d0d7ce2426aac8d.png
Apple,iPod Touch (6th Gen),https://static.swappa.com/images/cache/45/a1/45a14bf0f247bf47a8fbe7d1d8049e79.png
Apple,iPod Nano (7th Gen),https://static.swappa.com/images/cache/2f/57/2f578b268840f06332cbea8dab286b80.png
Apple,iPod Classic (7th Gen),https://static.swappa.com/images/cache/23/f9/23f977700c5045e9a60f3ad655107db8.png
Apple,iPod Classic (6th Gen),https://static.swappa.com/images/cache/47/39/4739049fbbee5c4d4b67de13f8444eee.png
Apple,iPod Classic (1st Gen),https://static.swappa.com/images/cache/12/fb/12fb15cc4d151ab94d0d7ce2426aac8d.png
Sony,Walkman NW-A306,https://static.swappa.com/images/cache/83/5f/835f5ff701566cdb41857cfc43e9a795.png
Sony,NW-A35,
Sony,NW-A45,
Sony,NW-A55,
Sony,NW-A105,
Sony,NW-A106,
Sony,NW-ZX300,
Sony,NW-ZX505,
Sony,NW-ZX507,
Sony,NW-WM1A,https://static.swappa.com/images/cache/42/47/424769228aa0f470234f046d677de4ee.png
Sony,NW-WM1Z,
Sony,NW-WM1AM2,
Sony,NW-WM1ZM2,
Sony,NW-WS413,
Sony,NW-WS414,
Sony,NW-WS623,
Sony,NW-WS625,
Sony,NW-E394,
Sony,NW-E395,
