BRAND,CONSOLE
Nintendo,Nintendo NES
Nintendo,Super Nintendo
Nintendo,Nintendo 64
Nintendo,Gamecube
Nintendo,Wii
Nintendo,Wii U
Nintendo,Switch
Nintendo,Switch 2
Nintendo,GameBoy
Nintendo,GameBoy Color
Nintendo,GameBoy Advance
Nintendo,Nintendo DS
Nintendo,Nintendo 3DS
Nintendo,Virtual Boy
Atari,Atari 2600
Atari,Atari 5200
Atari,Atari 7800
Atari,Atari 400/800
Atari,Atari Lynx
Atari,Atari Jaguar
Neo Geo,Neo Geo MVS
Neo Geo,Neo Geo AES
Neo Geo,Neo Geo CD
Neo Geo,Neo Geo Pocket Color
PlayStation,PlayStation
PlayStation,PlayStation 2
PlayStation,PlayStation 3
PlayStation,PlayStation 4
PlayStation,PlayStation 5
PlayStation,PSP
PlayStation,PlayStation Vita
Sega,Sega Master System
Sega,Sega Genesis
Sega,Sega CD
Sega,Sega 32X
Sega,Sega Saturn
Sega,Sega Dreamcast
Sega,Sega Game Gear
Sega,Sega Pico
Xbox,Xbox
Xbox,Xbox 360
Xbox,Xbox One
Xbox,Xbox Series X
