BRAND,CONSOLE,MODEL,PRICE,IMAGE_URL
PlayStation,PlayStation 5,Silent Hill 2,26,https://storage.googleapis.com/images.pricecharting.com/zzizautbtzft4c4r/1600.jpg
PlayStation,PlayStation 5,Grand Theft Auto V,16,https://storage.googleapis.com/images.pricecharting.com/8e47cda4d2b118df28f4c7620694e0d66810c1205d2e8f58659c53891c8d4607/1600.jpg
PlayStation,PlayStation 5,Resident Evil 4 Remake,15,https://storage.googleapis.com/images.pricecharting.com/3r5zma44w6dyw2cp/1600.jpg
PlayStation,PlayStation 5,Elden Ring,21,https://storage.googleapis.com/images.pricecharting.com/6oh7jaxeclferwsm/1600.jpg
PlayStation,PlayStation 5,Call Of Duty: Black Ops 6,24,https://storage.googleapis.com/images.pricecharting.com/6khppige3yje464e/1600.jpg
PlayStation,PlayStation 5,Marvel Spider-Man 2,30,https://storage.googleapis.com/images.pricecharting.com/98ce4a4b295d44456377d28794bf778bac4e9a76bca8bfa52d29f0327faf3bb3/1600.jpg
PlayStation,PlayStation 5,Ghost Of Yotei,48,https://storage.googleapis.com/images.pricecharting.com/73p4pq7a7lp4dolp/1600.jpg
PlayStation,PlayStation 5,Stellar Blade,30,https://storage.googleapis.com/images.pricecharting.com/fed51caadc2ce9494d77ef908303410ece33771a30fee29f61e3516f6fe22290/1600.jpg
PlayStation,PlayStation 5,Marvel Spiderman: Miles Morales,13,https://storage.googleapis.com/images.pricecharting.com/d73eab972092c1093758025427be90f7e53f5015289b30111aa21911d917c5fa/1600.jpg
PlayStation,PlayStation 5,Clair Obscur: Expedition 33,41,https://storage.googleapis.com/images.pricecharting.com/aojkfs4pk3ggrxwb/1600.jpg
PlayStation,PlayStation 5,Final Fantasy XVI,15,https://storage.googleapis.com/images.pricecharting.com/6382e151c9ca71a80046536ef566bdf3414a2d07b59e01353c9a5b6f5334d90f/1600.jpg
PlayStation,PlayStation 5,Silent Hill F,40,https://storage.googleapis.com/images.pricecharting.com/hej4bit5ddmcprfl/1600.jpg
PlayStation,PlayStation 5,God of War Ragnarok,21,https://storage.googleapis.com/images.pricecharting.com/553371c5449276fe9a4bfe1ded9a1bc2109191668b2dc23ff3ac844225aff39c/1600.jpg
PlayStation,PlayStation 5,Concord,16,https://storage.googleapis.com/images.pricecharting.com/3iwzycz5p46ilxdw/1600.jpg
