BRAND,MODEL,PRICE,IMAGE_URL
Apple,iPhone 13,175,https://static.swappa.com/images/cache/5d/4d/5d4d5516e15f669fd79a4c9742ba0327.png
Apple,iPhone 11,112,https://static.swappa.com/images/cache/a2/e0/a2e0a0e3cae64c4d6b198eb9a2c46c8a.png
Apple,iPhone 12,143,https://static.swappa.com/images/cache/e7/e6/e7e650bed4c3d5152f7905391331fa94.png
Apple,iPhone 14,193,https://static.swappa.com/images/cache/cc/4c/cc4c757c5c20cef41db420d39a97d083.png
Apple,iPhone 14 Pro Max,374,https://static.swappa.com/images/cache/60/bb/60bb6f0d4a46d71de39aac2a2d60c2dd.png
Apple,iPhone 13 Pro Max,288,https://static.swappa.com/images/cache/29/33/2933da7b7a070b63b66ff3ee7bd4dce7.png
Apple,iPhone 14 Pro,309,https://static.swappa.com/images/cache/0a/e9/0ae9696bb8152769e72464684d7aaa22.png
Apple,iPhone 15,293,https://static.swappa.com/images/cache/85/a9/85a978e4ea54a29853d2b367ff714de2.png
Apple,iPhone 15 Pro,401,https://static.swappa.com/images/cache/7e/7e/7e7ee759e988e9c096d23c100d5ffa7d.png
Apple,iPhone 12 Pro Max,221,https://static.swappa.com/images/cache/37/11/37119c3fa35083b0cd5b952f82307ea3.png
Apple,iPhone 13 Pro,221,https://static.swappa.com/images/cache/ca/4e/ca4ea7f82174ea20d7a483d211824dc2.png
Apple,iPhone 15 Pro Max,463,https://static.swappa.com/images/cache/02/6c/026c8cf7e611d4db92ccfb2127b160ac.png
Apple,iPhone 14 Plus,236,https://static.swappa.com/images/cache/27/2d/272de0e2670f7841449a1c350328006c.png
Apple,iPhone 12 Mini,128,https://static.swappa.com/images/cache/42/f7/42f7e00af104deaeb08b9e21d2995454.png
Apple,iPhone 16 Pro,499,https://static.swappa.com/images/cache/ff/8a/ff8a5ae67dcf5719ce7d059b82259dc6.png
Apple,iPhone 12 Pro,189,https://static.swappa.com/images/cache/11/44/114463e2084103efd96d8ad69bc96b58.png
Apple,iPhone 15 Plus,324,https://static.swappa.com/images/cache/27/d4/27d4425db94dbbb57c6eb59611cfe15f.png
Apple,iPhone 16 Pro Max,649,https://static.swappa.com/images/cache/7c/c7/7cc7dc4576ae082ddf5854b96a21c12c.png
Apple,iPhone 16,360,https://static.swappa.com/images/cache/dd/e7/dde7ceffea5288358af8c93caef83800.png
Samsung,Galaxy S25 Ultra,656,https://static.swappa.com/images/cache/32/26/322641efa10675f30c3211ade9b58322.png
Apple,iPhone 11 Pro Max,180,https://static.swappa.com/images/cache/c5/19/c519b238b3cf3151f2ade3422d46703f.png
Samsung,Galaxy Z Fold5,412,https://static.swappa.com/images/cache/42/8a/428ab2347c3b930555a75a7d4036568c.png
Apple,iPhone 11 Pro,164,https://static.swappa.com/images/cache/cb/d8/cbd819566cb0be988082a31193e10779.png
Samsung,Galaxy S24 Ultra,520,https://static.swappa.com/images/cache/85/2b/852b1eeb6eaf222336ac34a505088bcd.png
Apple,iPhone 16 Plus,429,https://static.swappa.com/images/cache/e5/3a/e53a73a4e73678b035cb0d88b166a7b4.png
Samsung,Galaxy S22,109,https://static.swappa.com/images/cache/3f/fb/3ffb4e1c84cb5aed233db3223647a07d.png
Apple,iPhone SE 3rd Gen 2022,85,https://static.swappa.com/images/cache/d3/0d/d30ddce81b68667c695dbeca1068850d.png
Samsung,Galaxy Z Fold6,528,https://static.swappa.com/images/cache/d2/ff/d2ff0ad0bc8e72fb7f9eacf93360f1ee.png
Apple,iPhone 16e,249,https://static.swappa.com/images/cache/51/f5/51f50a5aad7172637ed2654daccddb61.png
Apple,iPhone 17 Pro,989,https://static.swappa.com/images/cache/af/a5/afa591963fe65d4f5d8900c086a46b66.png
Samsung,Galaxy Z Flip5,239,https://static.swappa.com/images/cache/b6/04/b6044283ec1fedb187be0171c1d5959c.png
Apple,iPhone 13 Mini,168,https://static.swappa.com/images/cache/ca/85/ca85444a2d7faabe823ca29965fea31c.png
Apple,iPhone Xs Max,118,https://static.swappa.com/images/cache/19/9a/199a8276af100c1edbea104d4b6348ad.png
Samsung,Galaxy S23,189,https://static.swappa.com/images/cache/66/36/6636aaa6f79f5330ca7e36ef5d255134.png
Samsung,Galaxy Z Fold4 5G,257,https://static.swappa.com/images/cache/94/a8/94a8865655da5cf9a46df785f832d963.png
Samsung,Galaxy S22 Ultra,249,https://static.swappa.com/images/cache/23/63/2363505501ed85cfe310a219f9ee138d.png
Apple,iPhone Air,721,https://static.swappa.com/images/cache/73/a0/73a0725c15231b52581b2ac12be9c9cd.png
Samsung,Galaxy Z Flip6,320,https://static.swappa.com/images/cache/26/01/2601ac9174e8bbb882f33e88060b6d63.png
Samsung,Galaxy S25,359,https://static.swappa.com/images/cache/a0/8b/a08bd12fca451da230dacbae107d3465.png
Apple,iPhone 17 Pro Max,983,https://static.swappa.com/images/cache/7a/48/7a48c500a192922292410b0ed2c1f418.png
Samsung,Galaxy S21 5G,109,https://static.swappa.com/images/cache/54/ec/54ec9ce3b849e245ecd3089f827c99d2.png
Google,Pixel 8 Pro,257,https://static.swappa.com/images/cache/26/26/2626a03451e961822204c75cb2121a35.png
Apple,iPhone X,99,https://static.swappa.com/images/cache/91/de/91dec1893845dad70aa430166070fdf4.png
Apple,iPhone Xs,88,https://static.swappa.com/images/cache/62/9f/629f463797d15cedc41504a2e861007c.png
Samsung,Galaxy Note 20 5G,101,https://static.swappa.com/images/cache/fc/b0/fcb0014d38ee85f6118b53ee2a828968.png
Google,Pixel 10 Pro XL,669,https://static.swappa.com/images/cache/21/31/21312632f9fcb8991ddc5b05c51d7770.png
Samsung,Galaxy S23 Ultra,360,https://static.swappa.com/images/cache/a6/35/a635714b488fa86f88c725d1de6ded21.png
Samsung,Galaxy S22 Plus,132,https://static.swappa.com/images/cache/8b/e5/8be5f0e5e9c77edc1882dbb640066010.png
Samsung,Galaxy S24,209,https://static.swappa.com/images/cache/8a/84/8a841cc83358550ce75c03292d2d8b92.png
Google,Pixel 8,216,https://static.swappa.com/images/cache/bf/e4/bfe463ac6e0b198d433347ec20c44ae7.png
Samsung,Galaxy S23 FE,143,https://static.swappa.com/images/cache/7e/6d/7e6d00a9bcb4028342554be6512817f1.png
Samsung,Galaxy Z Flip3 5G,148,https://static.swappa.com/images/cache/17/fd/17fd282d3814cf31f6753fbb40e5d326.png
Google,Pixel 7,129,https://static.swappa.com/images/cache/4c/90/4c906122e49a63dbdd5dbce1e5a5463e.png
Google,Pixel 9 Pro,398,https://static.swappa.com/images/cache/ba/3b/ba3bb41dc32623150998720558c8ad92.png
Samsung,Galaxy Z Flip7,515,https://static.swappa.com/images/cache/e5/c3/e5c3aa68f06fb3ff8b0e2b96b67aa94f.png
Samsung,Galaxy Z Fold3 5G,294,https://static.swappa.com/images/cache/f4/a5/f4a58552a8c98b5229fee4f045fb430d.png
Google,Pixel 9a,304,https://static.swappa.com/images/cache/e1/e4/e1e49886304c07b9686e7ba0770fbbbb.png
Samsung,Galaxy S24 Plus,374,https://static.swappa.com/images/cache/55/f3/55f3c24741bc8de22c48c914d0ba1c6a.png
Samsung,Galaxy S21 Plus 5G,128,https://static.swappa.com/images/cache/f1/d1/f1d16a786866e422cb3a625fd1579463.png
